t,r,y,u,e
24.05,1.0,0.5522891287010756,0.9994857538267138,0.4477108712989244
24.1,1.0,0.5530344557642688,0.9994853666170106,0.4469655442357312
24.150000000000002,1.0,0.5537785399748743,0.9994849821275437,0.44622146002512575
24.200000000000003,1.0,0.5545213834088333,0.9994846003503134,0.4454786165911667
24.25,1.0,0.5552629881386141,0.9994842212773396,0.4447370118613859
24.3,1.0,0.5560033562332175,0.9994838449006611,0.4439966437667825
24.35,1.0,0.5567424897581827,0.9994834712123356,0.44325751024181725
24.400000000000002,1.0,0.5574803907755932,0.9994831002044401,0.4425196092244068
24.450000000000003,1.0,0.5582170613440823,0.9994827318690703,0.44178293865591767
24.5,1.0,0.5589525035188394,0.9994823661983411,0.4410474964811606
24.55,1.0,0.5596867193516153,0.999482003184386,0.4403132806483847
24.6,1.0,0.5604197108907282,0.9994816428193574,0.4395802891092718
24.650000000000002,1.0,0.5611514801810693,0.9994812850954266,0.4388485198189307
24.700000000000003,1.0,0.5618820292641088,0.9994809300047837,0.4381179707358912
24.75,1.0,0.5626113601779014,0.9994805775396374,0.43738863982209863
24.8,1.0,0.5633394749570919,0.999480227692215,0.4366605250429081
24.85,1.0,0.5640663756329214,0.9994798804547627,0.4359336243670786
24.900000000000002,1.0,0.5647920642332325,0.999479535819545,0.43520793576676753
24.950000000000003,1.0,0.5655165427824752,0.9994791937788452,0.4344834572175248
25.0,1.0,0.5662398133017127,0.999478854324965,0.4337601866982873
25.05,1.0,0.5669618778086268,0.9994785174502246,0.43303812219137316
25.1,1.0,0.567682738317524,0.9994781831469628,0.432317261682476
25.150000000000002,1.0,0.5684023968393407,0.9994778514075364,0.4315976031606593
25.200000000000003,1.0,0.569120855381649,0.9994775222243208,0.430879144618351
25.25,1.0,0.5698381159486625,0.9994771955897097,0.4301618840513375
25.3,1.0,0.5705541805412416,0.9994768714961151,0.42944581945875837
25.35,1.0,0.5712690511568995,0.9994765499359672,0.4287309488431005
25.400000000000002,1.0,0.5719827297898076,0.9994762309017146,0.4280172702101924
25.450000000000003,1.0,0.572695218430801,0.9994759143858235,0.42730478156919904
25.5,1.0,0.5734065190673843,0.9994756003807788,0.42659348093261573
25.55,1.0,0.5741166336837371,0.9994752888790831,0.4258833663162629
25.6,1.0,0.5748255642607196,0.9994749798732574,0.4251744357392804
25.650000000000002,1.0,0.5755333127758782,0.9994746733558404,0.42446668722412184
25.700000000000003,1.0,0.5762398812034507,0.9994743693193887,0.4237601187965493
25.75,1.0,0.5769452715143725,0.9994740677564771,0.42305472848562753
25.8,1.0,0.5776494856762814,0.9994737686596981,0.4223505143237186
25.85,1.0,0.5783525256535237,0.999473472021662,0.4216474743464763
25.900000000000002,1.0,0.5790543934071595,0.9994731778349972,0.4209456065928405
25.950000000000003,1.0,0.5797550908949681,0.9994728860923495,0.42024490910503187
26.0,1.0,0.5804546200714538,0.9994725967863826,0.41954537992854624
26.05,1.0,0.581152982887851,0.9994723099097779,0.418847017112149
26.1,1.0,0.58185018129213,0.9994720254552342,0.41814981870787005
26.150000000000002,1.0,0.5825462172290022,0.9994717434154683,0.41745378277099776
26.200000000000003,1.0,0.583241092639926,0.9994714637832144,0.41675890736007404
26.25,1.0,0.5839348094631115,0.9994711865512241,0.4160651905368885
26.3,1.0,0.5846273696335268,0.9994709117122668,0.4153726303664732
26.35,1.0,0.5853187750829028,0.9994706392591289,0.41468122491709725
26.400000000000002,1.0,0.586009027739739,0.9994703691846148,0.41399097226026105
26.450000000000003,1.0,0.5866981295293087,0.9994701014815458,0.41330187047069133
26.5,1.0,0.5873860823736644,0.9994698361427605,0.4126139176263356
26.55,1.0,0.5880728881916435,0.9994695731611153,0.4119271118083565
26.6,1.0,0.5887585488988732,0.9994693125294835,0.41124145110112675
26.650000000000002,1.0,0.5894430664077763,0.9994690542407556,0.41055693359222367
26.700000000000003,1.0,0.5901264426275764,0.9994687982878395,0.4098735573724236
26.75,1.0,0.5908086794643033,0.9994685446636602,0.40919132053569673
26.8,1.0,0.591489778820798,0.9994682933611595,0.408510221179202
26.85,1.0,0.5921697425967188,0.9994680443732967,0.40783025740328116
26.900000000000002,1.0,0.5928485726885461,0.999467797693048,0.40715142731145393
26.950000000000003,1.0,0.5935262709895875,0.9994675533134065,0.40647372901041245
27.0,1.0,0.5942028393899839,0.9994673112273824,0.40579716061001614
27.05,1.0,0.5948782797767139,0.9994670714280028,0.4051217202232861
27.1,1.0,0.5955525940336,0.9994668339083116,0.40444740596640005
27.150000000000002,1.0,0.5962257840413129,0.9994665986613696,0.4037742159586871
27.200000000000003,1.0,0.5968978516773777,0.9994663656802545,0.40310214832262226
27.25,1.0,0.5975687988161789,0.9994661349580607,0.40243120118382114
27.3,1.0,0.598238627328965,0.9994659064878992,0.40176137267103496
27.35,1.0,0.598907339083855,0.9994656802628981,0.40109266091614504
27.400000000000002,1.0,0.5995749359458422,0.9994654562762018,0.4004250640541578
27.450000000000003,1.0,0.6002414197768008,0.9994652345209715,0.3997585802231992
27.5,1.0,0.6009067924354901,0.9994650149903849,0.39909320756450994
27.55,1.0,0.6015710557775603,0.9994647976776364,0.3984289442224397
27.6,1.0,0.6022342116555576,0.9994645825759368,0.39776578834444243
27.650000000000002,1.0,0.6028962619189292,0.9994643696785137,0.3971037380810708
27.700000000000003,1.0,0.6035572084140287,0.9994641589786105,0.3964427915859713
27.75,1.0,0.6042170529841211,0.9994639504694877,0.3957829470158789
27.8,1.0,0.6048757974693882,0.9994637441444217,0.39512420253061176
27.85,1.0,0.6055334437069337,0.9994635399967056,0.39446655629306626
27.900000000000002,1.0,0.6061899935307883,0.9994633380196485,0.3938100064692117
27.950000000000003,1.0,0.6068454487719146,0.999463138206576,0.3931545512280854
28.0,1.0,0.6074998112582128,0.9994629405508297,0.39250018874178716
28.05,1.0,0.6081530828145254,0.9994627450457678,0.3918469171854746
28.1,1.0,0.6088052652626424,0.9994625516847644,0.39119473473735755
28.150000000000002,1.0,0.6094563604213067,0.9994623604612096,0.3905436395786933
28.200000000000003,1.0,0.6101063701062187,0.9994621713685099,0.3898936298937813
28.25,1.0,0.6107552961300419,0.9994619844000875,0.38924470386995813
28.3,1.0,0.6114031403024074,0.999461799549381,0.3885968596975926
28.35,1.0,0.6120499044299198,0.9994616168098448,0.3879500955700802
28.400000000000002,1.0,0.6126955903161615,0.9994614361749492,0.3873044096838385
28.450000000000003,1.0,0.6133401997616982,0.9994612576381806,0.3866598002383018
28.5,1.0,0.6139837345640837,0.9994610811930411,0.3860162654359163
28.55,1.0,0.6146261965178653,0.9994609068330488,0.3853738034821347
28.6,1.0,0.6152675874145884,0.9994607345517375,0.3847324125854116
